NOC2016,NOC2016_Title,Change_type,NOC2021,NOC2021_Title,Notes
3111,Specialist physicians,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",41310,Police investigators and other investigative occupations,3111 continues as 31100 and part split off to emerging items 31101 and 41310
3112,General practitioners and family physicians,"VC1 - Code Change, VC2 - Name Change",31102,General practitioners and family physicians,
3113,Dentists,"VC1 - Code Change, VC2 - Name Change",31110,Dentists,
3114,Veterinarians,"VC1 - Code Change, VC2 - Name Change",31103,Veterinarians,
3121,Optometrists,"VC1 - Code Change, VC2 - Name Change",31111,Optometrists,
3122,Chiropractors,"VC1 - Code Change, VC2 - Name Change",31201,Chiropractors,
3124,Allied primary health practitioners,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",31302,Nurse practitioners,3124 continues as 31303 and part transferred to 32103 and part split off to emerging item 31302
3124,Allied primary health practitioners,"RC4.2 - Split off, RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31303,"Physician assistants, midwives and allied health professionals",3124 continues as 31303 and part transferred to 32103 and part split off to emerging item 31302
3124,Allied primary health practitioners,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",3124 continues as 31303 and part transferred to 32103 and part split off to emerging item 31302
3125,Other professional occupations in health diagnosing and treating,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31209,Other professional occupations in health diagnosing and treating,3125 continues as 31209 and part transferred to 31303
3125,Other professional occupations in health diagnosing and treating,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31303,"Physician assistants, midwives and allied health professionals",3125 continues as 31209 and part transferred to 31303
3131,Pharmacists,"VC1 - Code Change, VC2 - Name Change",31120,Pharmacists,
3132,Dietitians and nutritionists,"VC1 - Code Change, VC2 - Name Change",31121,Dietitians and nutritionists,
3141,Audiologists and speech-language pathologists,"VC1 - Code Change, VC2 - Name Change",31112,Audiologists and speech-language pathologists,
3142,Physiotherapists,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31202,Physiotherapists,3142 continues as 31202 and part transferred to 32109
3142,Physiotherapists,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",32109,Other technical occupations in therapy and assessment,3142 continues as 31202 and part transferred to 32109
3143,Occupational therapists,"VC1 - Code Change, VC2 - Name Change",31203,Occupational therapists,
3144,Other professional occupations in therapy and assessment,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31204,Kinesiologists and other professional occupations in therapy and assessment,3144 continues as 31204 and part transferred to 41301
3144,Other professional occupations in therapy and assessment,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",41301,Therapists in counselling and related specialized therapies,3144 continues as 31204 and part transferred to 41301
3211,Medical laboratory technologists,"VC1 - Code Change, VC2 - Name Change",32120,Medical laboratory technologists,
3212,Medical laboratory technicians and pathologists' assistants,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31303,"Physician assistants, midwives and allied health professionals",3212 continues as 33101 and part transferred to 31303 and 32120
3212,Medical laboratory technicians and pathologists' assistants,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",32120,Medical laboratory technologists,3212 continues as 33101 and part transferred to 31303 and 32120
3212,Medical laboratory technicians and pathologists' assistants,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",33101,Medical laboratory assistants and related technical occupations,3212 continues as 33101 and part transferred to 31303 and 32120
3213,Animal health technologists and veterinary technicians,"VC1 - Code Change, VC2 - Name Change",32104,Animal health technologists and veterinary technicians,
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","VC1 - Code Change, VC2 - Name Change",32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",
3215,Medical radiation technologists,"VC1 - Code Change, VC2 - Name Change",32121,Medical radiation technologists,
3216,Medical sonographers,"VC1 - Code Change, VC2 - Name Change",32122,Medical sonographers,
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.","VC1 - Code Change, VC2 - Name Change",32123,Cardiology technologists and electrophysiological diagnostic technologists,
3219,Other medical technologists and technicians (except dental health),"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",32124,Pharmacy technicians,3219 continues as 32129 and part transferred to 33103 and part split off to emerging item 32124
3219,Other medical technologists and technicians (except dental health),"RC4.2 - Split off, RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",32129,Other medical technologists and technicians,3219 continues as 32129 and part transferred to 33103 and part split off to emerging item 32124
3219,Other medical technologists and technicians (except dental health),"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",33103,Pharmacy technical assistants and pharmacy assistants,3219 continues as 32129 and part transferred to 33103 and part split off to emerging item 32124
3221,Denturists,"VC1 - Code Change, VC2 - Name Change",32110,Denturists,
3222,Dental hygienists and dental therapists,"VC1 - Code Change, VC2 - Name Change",32111,Dental hygienists and dental therapists,
3223,"Dental technologists, technicians and laboratory assistants","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",32112,Dental technologists and technicians,3223 continues as 32112 and part transferred to 33100
3223,"Dental technologists, technicians and laboratory assistants","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",33100,Dental assistants and dental laboratory assistants,3223 continues as 32112 and part transferred to 33100
3231,Opticians,"VC1 - Code Change, VC2 - Name Change",32100,Opticians,
3232,Practitioners of natural healing,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",32200,Traditional Chinese medicine practitioners and acupuncturists,3232 continues as 32209 and part transferred to emerging item 32200
3232,Practitioners of natural healing,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",32209,Other practitioners of natural healing,3232 continues as 32209 and part transferred to emerging item 32200
3233,Licensed practical nurses,"VC1 - Code Change, VC2 - Name Change",32101,Licensed practical nurses,
3234,Paramedical occupations,"VC1 - Code Change, VC2 - Name Change",32102,Paramedical occupations,
3236,Massage therapists,"VC1 - Code Change, VC2 - Name Change",32201,Massage therapists,
3237,Other technical occupations in therapy and assessment,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",32109,Other technical occupations in therapy and assessment,3237 continues as 32109 and part transferred to 33109
3237,Other technical occupations in therapy and assessment,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",33109,Other assisting occupations in support of health services,3237 continues as 32109 and part transferred to 33109
3411,Dental assistants,"VC1 - Code Change, VC2 - Name Change",33100,Dental assistants and dental laboratory assistants,
3413,"Nurse aides, orderlies and patient service associates","VC1 - Code Change, VC2 - Name Change",33102,"Nurse aides, orderlies and patient service associates",
3414,Other assisting occupations in support of health services,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",32109,Other technical occupations in therapy and assessment,3414 continues as 33109 and part transferred to 32109 and part split off to emerging item 33103
3414,Other assisting occupations in support of health services,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",33103,Pharmacy technical assistants and pharmacy assistants,3414 continues as 33109 and part transferred to 32109 and part split off to emerging item 33103
3414,Other assisting occupations in support of health services,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",33109,Other assisting occupations in support of health services,3414 continues as 33109 and part transferred to 32109 and part split off to emerging item 33103
4011,University professors and lecturers,"VC1 - Code Change, VC2 - Name Change",41200,University professors and lecturers,
4012,Post-secondary teaching and research assistants,"VC1 - Code Change, VC2 - Name Change",41201,Post-secondary teaching and research assistants,
4021,College and other vocational instructors,"VC1 - Code Change, VC2 - Name Change",41210,College and other vocational instructors,
4031,Secondary school teachers,"VC1 - Code Change, VC2 - Name Change",41220,Secondary school teachers,
4032,Elementary school and kindergarten teachers,"VC1 - Code Change, VC2 - Name Change",41221,Elementary school and kindergarten teachers,
4033,Educational counsellors,"VC1 - Code Change, VC2 - Name Change",41320,Educational counsellors,
4111,Judges,"VC1 - Code Change, VC2 - Name Change",41100,Judges,
4112,Lawyers and Quebec notaries,"VC1 - Code Change, VC2 - Name Change",41101,Lawyers and Quebec notaries,
4151,Psychologists,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31200,Psychologists,4151 continues as 31200 and part transferred to 41301
4151,Psychologists,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",41301,Therapists in counselling and related specialized therapies,4151 continues as 31200 and part transferred to 41301
4152,Social workers,"VC1 - Code Change, VC2 - Name Change",41300,Social workers,
4153,"Family, marriage and other related counsellors","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31303,"Physician assistants, midwives and allied health professionals",4153 continues as 41301 with part transferred to 31303 and 41321
4153,"Family, marriage and other related counsellors","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",41301,Therapists in counselling and related specialized therapies,4153 continues as 41301 with part transferred to 31303 and 41321
4153,"Family, marriage and other related counsellors","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",41321,Career development practitioners and career counsellors (except education),4153 continues as 41301 with part transferred to 31303 and 41321
4154,Professional occupations in religion,"VC1 - Code Change, VC2 - Name Change",41302,Religious leaders,
4155,Probation and parole officers and related occupations,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",41311,Probation and parole officers,4155 continues as 41311 and part transferred to 42201
4155,Probation and parole officers and related occupations,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",42201,Social and community service workers,4155 continues as 41311 and part transferred to 42201
4156,Employment counsellors,"VC1 - Code Change, VC2 - Name Change",41321,Career development practitioners and career counsellors (except education),
4161,"Natural and applied science policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41400,"Natural and applied science policy researchers, consultants and program officers",
4162,Economists and economic policy researchers and analysts,"VC1 - Code Change, VC2 - Name Change",41401,Economists and economic policy researchers and analysts,
4163,Business development officers and marketing researchers and consultants,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",11202,"Professional occupations in advertising, marketing and public relations",4163 continues as 41402 and part transferred to 11202
4163,Business development officers and marketing researchers and consultants,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",41402,Business development officers and market researchers and analysts,4163 continues as 41402 and part transferred to 11202
4164,"Social policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41403,"Social policy researchers, consultants and program officers",
4165,"Health policy researchers, consultants and program officers","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",21110,Biologists and related scientists,4165 continues as 41404 and part transferred to 21110 and part split off to emerging item 41310
4165,"Health policy researchers, consultants and program officers","RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",41310,Police investigators and other investigative occupations,4165 continues as 41404 and part transferred to 21110 and part split off to emerging item 41310
4165,"Health policy researchers, consultants and program officers","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",41404,"Health policy researchers, consultants and program officers",4165 continues as 41404 and part transferred to 21110 and part split off to emerging item 41310
4166,"Education policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41405,"Education policy researchers, consultants and program officers",
4167,"Recreation, sports and fitness policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41406,"Recreation, sports and fitness policy researchers, consultants and program officers",
4168,Program officers unique to government,"VC1 - Code Change, VC2 - Name Change",41407,Program officers unique to government,
4169,"Other professional occupations in social science, n.e.c.","VC1 - Code Change, VC2 - Name Change",41409,Other professional occupations in social science,
4211,Paralegal and related occupations,"VC1 - Code Change, VC2 - Name Change",42200,Paralegals and related occupations,
4212,Social and community service workers,"VC1 - Code Change, VC2 - Name Change",42201,Social and community service workers,
4214,Early childhood educators and assistants,"VC1 - Code Change, VC2 - Name Change",42202,Early childhood educators and assistants,
4215,Instructors of persons with disabilities,"VC1 - Code Change, VC2 - Name Change",42203,Instructors of persons with disabilities,
4216,Other instructors,"VC1 - Code Change, VC2 - Name Change",43109,Other instructors,
4217,Other religious occupations,"VC1 - Code Change, VC2 - Name Change",42204,Religion workers,
4311,Police officers (except commissioned),"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",41310,Police investigators and other investigative occupations,4311 continues as 42100 and part split off to emerging item 41310
4311,Police officers (except commissioned),"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",42100,Police officers (except commissioned),4311 continues as 42100 and part split off to emerging item 41310
4312,Firefighters,"VC1 - Code Change, VC2 - Name Change",42101,Firefighters,
4313,Non-commissioned ranks of the Canadian Armed Forces,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",42102,Specialized members of the Canadian Armed Forces,4313 continues as 44200 and part split off to emerging items 42102 and 43204
4313,Non-commissioned ranks of the Canadian Armed Forces,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",43204,Operations members of the Canadian Armed Forces,4313 continues as 44200 and part split off to emerging items 42102 and 43204
4313,Non-commissioned ranks of the Canadian Armed Forces,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",44200,Primary combat members of the Canadian Armed Forces,4313 continues as 44200 and part split off to emerging items 42102 and 43204
4411,Home child care providers,"VC1 - Code Change, VC2 - Name Change",44100,Home child care providers,
4412,"Home support workers, housekeepers and related occupations","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",44101,"Home support workers, caregivers and related occupations",4412 continues as 44101 and part transferred to 65310
4412,"Home support workers, housekeepers and related occupations","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",65310,Light duty cleaners,4412 continues as 44101 and part transferred to 65310
4413,Elementary and secondary school teacher assistants,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",43100,Elementary and secondary school teacher assistants,4413 continues as 43100 and part split off to emerging item 45100
4413,Elementary and secondary school teacher assistants,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",45100,"Student monitors, crossing guards and related occupations",4413 continues as 43100 and part split off to emerging item 45100
4421,Sheriffs and bailiffs,"VC1 - Code Change, VC2 - Name Change",43200,Sheriffs and bailiffs,
4422,Correctional service officers,"VC1 - Code Change, VC2 - Name Change",43201,Correctional service officers,
4423,"By-law enforcement and other regulatory officers, n.e.c.","VC1 - Code Change, VC2 - Name Change",43202,By-law enforcement and other regulatory officers,
5111,Librarians,"VC1 - Code Change, VC2 - Name Change",51100,Librarians,
5112,Conservators and curators,"VC1 - Code Change, VC2 - Name Change",51101,Conservators and curators,
5113,Archivists,"VC1 - Code Change, VC2 - Name Change",51102,Archivists,
5121,Authors and writers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",51111,Authors and writers (except technical),5121 continues as 51111 and part split off to emerging item 51112
5121,Authors and writers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",51112,Technical writers,5121 continues as 51111 and part split off to emerging item 51112
5122,Editors,"VC1 - Code Change, VC2 - Name Change",51110,Editors,
5123,Journalists,"VC1 - Code Change, VC2 - Name Change",51113,Journalists,
5125,"Translators, terminologists and interpreters","VC1 - Code Change, VC2 - Name Change",51114,"Translators, terminologists and interpreters",
5131,"Producers, directors, choreographers and related occupations","VC1 - Code Change, VC2 - Name Change",51120,"Producers, directors, choreographers and related occupations",
5132,"Conductors, composers and arrangers","VC1 - Code Change, VC2 - Name Change",51121,"Conductors, composers and arrangers",
5133,Musicians and singers,"VC1 - Code Change, VC2 - Name Change",51122,Musicians and singers,
5134,Dancers,"VC1 - Code Change, VC2 - Name Change",53120,Dancers,
5135,Actors and comedians,"VC1 - Code Change, VC2 - Name Change",53121,"Actors, comedians and circus performers",
5136,"Painters, sculptors and other visual artists","VC1 - Code Change, VC2 - Name Change",53122,"Painters, sculptors and other visual artists",
5211,Library and public archive technicians,"VC1 - Code Change, VC2 - Name Change",52100,Library and public archive technicians,
5212,Technical occupations related to museums and art galleries,"VC1 - Code Change, VC2 - Name Change",53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",
5221,Photographers,"VC1 - Code Change, VC2 - Name Change",53110,Photographers,
5222,Film and video camera operators,"VC1 - Code Change, VC2 - Name Change",52110,Film and video camera operators,
5223,Graphic arts technicians,"VC1 - Code Change, VC2 - Name Change",52111,Graphic arts technicians,
5224,Broadcast technicians,"VC1 - Code Change, VC2 - Name Change",52112,Broadcast technicians,
5225,Audio and video recording technicians,"VC1 - Code Change, VC2 - Name Change",52113,Audio and video recording technicians,
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","VC1 - Code Change, VC2 - Name Change",52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts","VC1 - Code Change, VC2 - Name Change",53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators",
5231,Announcers and other broadcasters,"VC1 - Code Change, VC2 - Name Change",52114,Announcers and other broadcasters,
5232,"Other performers, n.e.c.","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",53121,"Actors, comedians and circus performers",5232 continues as 55109 and part transferred to 53121
5232,"Other performers, n.e.c.","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",55109,Other performers,5232 continues as 55109 and part transferred to 53121
5241,Graphic designers and illustrators,"VC1 - Code Change, VC2 - Name Change",52120,Graphic designers and illustrators,
5242,Interior designers and interior decorators,"VC1 - Code Change, VC2 - Name Change",52121,Interior designers and interior decorators,
5243,"Theatre, fashion, exhibit and other creative designers","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",53123,"Theatre, fashion, exhibit and other creative designers",5243 continues as 53123 and part transferred to 62010 and 64100
5243,"Theatre, fashion, exhibit and other creative designers","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",62010,Retail sales supervisors,5243 continues as 53123 and part transferred to 62010 and 64100
5243,"Theatre, fashion, exhibit and other creative designers","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",64100,Retail salespersons and visual merchandisers,5243 continues as 53123 and part transferred to 62010 and 64100
5244,Artisans and craftspersons,"VC1 - Code Change, VC2 - Name Change",53124,Artisans and craftspersons,
5245,"Patternmakers - textile, leather and fur products","VC1 - Code Change, VC2 - Name Change",53125,"Patternmakers - textile, leather and fur products",
5251,Athletes,"VC1 - Code Change, VC2 - Name Change",53200,Athletes,
5252,Coaches,"VC1 - Code Change, VC2 - Name Change",53201,Coaches,
5253,Sports officials and referees,"VC1 - Code Change, VC2 - Name Change",53202,Sports officials and referees,
5254,"Program leaders and instructors in recreation, sport and fitness","VC1 - Code Change, VC2 - Name Change",54100,"Program leaders and instructors in recreation, sport and fitness",
6211,Retail sales supervisors,"VC1 - Code Change, VC2 - Name Change",62010,Retail sales supervisors,
6221,Technical sales specialists - wholesale trade,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",62100,Technical sales specialists - wholesale trade,6221 continues as 62100 and part transferred to 70012 and 75101
6221,Technical sales specialists - wholesale trade,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",70012,Facility operation and maintenance managers,6221 continues as 62100 and part transferred to 70012 and 75101
6221,Technical sales specialists - wholesale trade,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",75101,Material handlers,6221 continues as 62100 and part transferred to 70012 and 75101
6222,Retail and wholesale buyers,"VC1 - Code Change, VC2 - Name Change",62101,Retail and wholesale buyers,
6231,Insurance agents and brokers,"VC1 - Code Change, VC2 - Name Change",63100,Insurance agents and brokers,
6232,Real estate agents and salespersons,"VC1 - Code Change, VC2 - Name Change",63101,Real estate agents and salespersons,
6235,Financial sales representatives,"VC1 - Code Change, VC2 - Name Change",63102,Financial sales representatives,
6311,Food service supervisors,"VC1 - Code Change, VC2 - Name Change",62020,Food service supervisors,
6312,Executive housekeepers,"VC1 - Code Change, VC2 - Name Change",62021,Executive housekeepers,
6313,"Accommodation, travel, tourism and related services supervisors","VC1 - Code Change, VC2 - Name Change",62022,"Accommodation, travel, tourism and related services supervisors",
6314,Customer and information services supervisors,"VC1 - Code Change, VC2 - Name Change",62023,Customer and information services supervisors,
6315,Cleaning supervisors,"VC1 - Code Change, VC2 - Name Change",62024,Cleaning supervisors,
6316,Other services supervisors,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",62029,Other services supervisors,6316 continues as 62029 and part transferred to 65211
6316,Other services supervisors,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",65211,"Operators and attendants in amusement, recreation and sport",6316 continues as 62029 and part transferred to 65211
6321,Chefs,"VC1 - Code Change, VC2 - Name Change",62200,Chefs,
6322,Cooks,"VC1 - Code Change, VC2 - Name Change",63200,Cooks,
6331,"Butchers, meat cutters and fishmongers - retail and wholesale","RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",63201,Butchers - retail and wholesale,6331 continues as 63201 and part split off to emerging item 65202
6331,"Butchers, meat cutters and fishmongers - retail and wholesale","RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",65202,Meat cutters and fishmongers - retail and wholesale,6331 continues as 63201 and part split off to emerging item 65202
6332,Bakers,"VC1 - Code Change, VC2 - Name Change",63202,Bakers,
6341,Hairstylists and barbers,"VC1 - Code Change, VC2 - Name Change",63210,Hairstylists and barbers,
6342,"Tailors, dressmakers, furriers and milliners","VC1 - Code Change, VC2 - Name Change",64200,"Tailors, dressmakers, furriers and milliners",
6343,Shoe repairers and shoemakers,"VC1 - Code Change, VC2 - Name Change",63220,Shoe repairers and shoemakers,
6344,"Jewellers, jewellery and watch repairers and related occupations","VC1 - Code Change, VC2 - Name Change",62202,"Jewellers, jewellery and watch repairers and related occupations",
6345,Upholsterers,"VC1 - Code Change, VC2 - Name Change",63221,Upholsterers,
6346,Funeral directors and embalmers,"VC1 - Code Change, VC2 - Name Change",62201,Funeral directors and embalmers,
6411,Sales and account representatives - wholesale trade (non-technical),"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",62100,Technical sales specialists - wholesale trade,6411 continues as 64101 and part transferred to 62100
6411,Sales and account representatives - wholesale trade (non-technical),"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",64101,Sales and account representatives - wholesale trade (non-technical),6411 continues as 64101 and part transferred to 62100
6421,Retail salespersons,"VC1 - Code Change, VC2 - Name Change",64100,Retail salespersons and visual merchandisers,
6511,Matres d'htel and hosts/hostesses,"VC1 - Code Change, VC2 - Name Change",64300,Matres d'htel and hosts/hostesses,
6512,Bartenders,"VC1 - Code Change, VC2 - Name Change",64301,Bartenders,
6513,Food and beverage servers,"VC1 - Code Change, VC2 - Name Change",65200,Food and beverage servers,
6521,Travel counsellors,"VC1 - Code Change, VC2 - Name Change",64310,Travel counsellors,
6522,Pursers and flight attendants,"VC1 - Code Change, VC2 - Name Change",64311,Pursers and flight attendants,
6523,Airline ticket and service agents,"VC1 - Code Change, VC2 - Name Change",64312,Airline ticket and service agents,
6524,"Ground and water transport ticket agents, cargo service representatives and related clerks","VC1 - Code Change, VC2 - Name Change",64313,"Ground and water transport ticket agents, cargo service representatives and related clerks",
6525,Hotel front desk clerks,"VC1 - Code Change, VC2 - Name Change",64314,Hotel front desk clerks,
6531,Tour and travel guides,"VC1 - Code Change, VC2 - Name Change",64320,Tour and travel guides,
6532,Outdoor sport and recreational guides,"VC1 - Code Change, VC2 - Name Change",64322,Outdoor sport and recreational guides,
6533,Casino occupations,"VC1 - Code Change, VC2 - Name Change",64321,Casino workers,
6541,Security guards and related security service occupations,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",45100,"Student monitors, crossing guards and related occupations",6541 continues as 64410 and part transferred to 65329 and part split off to emerging item 45100
6541,Security guards and related security service occupations,"RC4.2 - Split off, RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",64410,Security guards and related security service occupations,6541 continues as 64410 and part transferred to 65329 and part split off to emerging item 45100
6541,Security guards and related security service occupations,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",65329,Other service support occupations,6541 continues as 64410 and part transferred to 65329 and part split off to emerging item 45100
6551,Customer services representatives - financial institutions,"VC1 - Code Change, VC2 - Name Change",64400,Customer services representatives - financial institutions,
6552,Other customer and information services representatives,"VC1 - Code Change, VC2 - Name Change",64409,Other customer and information services representatives,
6561,"Image, social and other personal consultants","VC1 - Code Change, VC2 - Name Change",64201,"Image, social and other personal consultants",
6562,"Estheticians, electrologists and related occupations","VC1 - Code Change, VC2 - Name Change",63211,"Estheticians, electrologists and related occupations",
6563,Pet groomers and animal care workers,"VC1 - Code Change, VC2 - Name Change",65220,Pet groomers and animal care workers,
6564,Other personal service occupations,"VC1 - Code Change, VC2 - Name Change",65229,Other support occupations in personal services,
6611,Cashiers,"VC1 - Code Change, VC2 - Name Change",65100,Cashiers,
6621,Service station attendants,"VC1 - Code Change, VC2 - Name Change",65101,Service station attendants,
6622,"Store shelf stockers, clerks and order fillers","VC1 - Code Change, VC2 - Name Change",65102,"Store shelf stockers, clerks and order fillers",
6623,Other sales related occupations,"VC1 - Code Change, VC2 - Name Change",65109,Other sales related occupations,
6711,"Food counter attendants, kitchen helpers and related support occupations","VC1 - Code Change, VC2 - Name Change",65201,"Food counter attendants, kitchen helpers and related support occupations",
6721,"Support occupations in accommodation, travel and facilities set-up services","VC1 - Code Change, VC2 - Name Change",65210,"Support occupations in accommodation, travel and facilities set-up services",
6722,"Operators and attendants in amusement, recreation and sport","VC1 - Code Change, VC2 - Name Change",65211,"Operators and attendants in amusement, recreation and sport",
