NOC2016,NOC2016_Title,Change_type,NOC2021,NOC2021_Title,Notes
6731,Light duty cleaners,"VC1 - Code Change, VC2 - Name Change",65310,Light duty cleaners,
6732,Specialized cleaners,"VC1 - Code Change, VC2 - Name Change",65311,Specialized cleaners,
6733,"Janitors, caretakers and building superintendents","RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",65312,"Janitors, caretakers and heavy-duty cleaners",6733 continues as 65312 and part split off to emerging item 73201
6733,"Janitors, caretakers and building superintendents","RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",73201,General building maintenance workers and building superintendents,6733 continues as 65312 and part split off to emerging item 73201
6741,"Dry cleaning, laundry and related occupations","VC1 - Code Change, VC2 - Name Change",65320,"Dry cleaning, laundry and related occupations",
6742,"Other service support occupations, n.e.c.","VC1 - Code Change, VC2 - Name Change",65329,Other service support occupations,
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","VC1 - Code Change, VC2 - Name Change",72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",
7202,"Contractors and supervisors, electrical trades and telecommunications occupations","VC1 - Code Change, VC2 - Name Change",72011,"Contractors and supervisors, electrical trades and telecommunications occupations",
7203,"Contractors and supervisors, pipefitting trades","VC1 - Code Change, VC2 - Name Change",72012,"Contractors and supervisors, pipefitting trades",
7204,"Contractors and supervisors, carpentry trades","VC1 - Code Change, VC2 - Name Change",72013,"Contractors and supervisors, carpentry trades",
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","VC1 - Code Change, VC2 - Name Change",72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",
7231,Machinists and machining and tooling inspectors,"VC1 - Code Change, VC2 - Name Change",72100,Machinists and machining and tooling inspectors,
7232,Tool and die makers,"VC1 - Code Change, VC2 - Name Change",72101,Tool and die makers,
7233,Sheet metal workers,"VC1 - Code Change, VC2 - Name Change",72102,Sheet metal workers,
7234,Boilermakers,"VC1 - Code Change, VC2 - Name Change",72103,Boilermakers,
7235,Structural metal and platework fabricators and fitters,"VC1 - Code Change, VC2 - Name Change",72104,Structural metal and platework fabricators and fitters,
7236,Ironworkers,"VC1 - Code Change, VC2 - Name Change",72105,Ironworkers,
7237,Welders and related machine operators,"VC1 - Code Change, VC2 - Name Change",72106,Welders and related machine operators,
7241,Electricians (except industrial and power system),"VC1 - Code Change, VC2 - Name Change",72200,Electricians (except industrial and power system),
7242,Industrial electricians,"VC1 - Code Change, VC2 - Name Change",72201,Industrial electricians,
7243,Power system electricians,"VC1 - Code Change, VC2 - Name Change",72202,Power system electricians,
7244,Electrical power line and cable workers,"VC1 - Code Change, VC2 - Name Change",72203,Electrical power line and cable workers,
7245,Telecommunications line and cable workers,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",72204,Telecommunications line and cable installers and repairers,7245 continues and includes part of the denotation of the expired unit group 7247
7246,Telecommunications installation and repair workers,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",72205,Telecommunications equipment installation and cable television service technicians,7246 continues and includes part of the denotation of the expired unit group 7247
7247,Cable television service and maintenance technicians,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",72204,Telecommunications line and cable installers and repairers,7247 expired and part proceeds between 72204 and 72205
7247,Cable television service and maintenance technicians,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",72205,Telecommunications equipment installation and cable television service technicians,7247 expired and part proceeds between 72204 and 72205
7251,Plumbers,"VC1 - Code Change, VC2 - Name Change",72300,Plumbers,
7252,"Steamfitters, pipefitters and sprinkler system installers","VC1 - Code Change, VC2 - Name Change",72301,"Steamfitters, pipefitters and sprinkler system installers",
7253,Gas fitters,"VC1 - Code Change, VC2 - Name Change",72302,Gas fitters,
7271,Carpenters,"VC1 - Code Change, VC2 - Name Change",72310,Carpenters,
7272,Cabinetmakers,"VC1 - Code Change, VC2 - Name Change",72311,Cabinetmakers,
7281,Bricklayers,"VC1 - Code Change, VC2 - Name Change",72320,Bricklayers,
7282,Concrete finishers,"VC1 - Code Change, VC2 - Name Change",73100,Concrete finishers,
7283,Tilesetters,"VC1 - Code Change, VC2 - Name Change",73101,Tilesetters,
7284,"Plasterers, drywall installers and finishers and lathers","VC1 - Code Change, VC2 - Name Change",73102,"Plasterers, drywall installers and finishers and lathers",
7291,Roofers and shinglers,"VC1 - Code Change, VC2 - Name Change",73110,Roofers and shinglers,
7292,Glaziers,"VC1 - Code Change, VC2 - Name Change",73111,Glaziers,
7293,Insulators,"VC1 - Code Change, VC2 - Name Change",72321,Insulators,
7294,Painters and decorators (except interior decorators),"VC1 - Code Change, VC2 - Name Change",73112,Painters and decorators (except interior decorators),
7295,Floor covering installers,"VC1 - Code Change, VC2 - Name Change",73113,Floor covering installers,
7301,"Contractors and supervisors, mechanic trades","VC1 - Code Change, VC2 - Name Change",72020,"Contractors and supervisors, mechanic trades",
7302,"Contractors and supervisors, heavy equipment operator crews","VC1 - Code Change, VC2 - Name Change",72021,"Contractors and supervisors, heavy equipment operator crews",
7303,"Supervisors, printing and related occupations","VC1 - Code Change, VC2 - Name Change",72022,"Supervisors, printing and related occupations",
7304,"Supervisors, railway transport operations","VC1 - Code Change, VC2 - Name Change",72023,"Supervisors, railway transport operations",
7305,"Supervisors, motor transport and other ground transit operators","VC1 - Code Change, VC2 - Name Change",72024,"Supervisors, motor transport and other ground transit operators",
7311,Construction millwrights and industrial mechanics,"VC1 - Code Change, VC2 - Name Change",72400,Construction millwrights and industrial mechanics,
7312,Heavy-duty equipment mechanics,"VC1 - Code Change, VC2 - Name Change",72401,Heavy-duty equipment mechanics,
7313,"Heating, refrigeration and air conditioning mechanics","VC1 - Code Change, VC2 - Name Change",72402,"Heating, refrigeration and air conditioning mechanics",
7314,Railway carmen/women,"VC1 - Code Change, VC2 - Name Change",72403,Railway carmen/women,
7315,Aircraft mechanics and aircraft inspectors,"VC1 - Code Change, VC2 - Name Change",72404,Aircraft mechanics and aircraft inspectors,
7316,Machine fitters,"VC1 - Code Change, VC2 - Name Change",72405,Machine fitters,
7318,Elevator constructors and mechanics,"VC1 - Code Change, VC2 - Name Change",72406,Elevator constructors and mechanics,
7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers","VC1 - Code Change, VC2 - Name Change",72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers",
7322,Motor vehicle body repairers,"VC1 - Code Change, VC2 - Name Change",72411,"Auto body collision, refinishing and glass technicians and damage repair estimators",
7331,Oil and solid fuel heating mechanics,"VC1 - Code Change, VC2 - Name Change",72420,Oil and solid fuel heating mechanics,
7332,Appliance servicers and repairers,"VC1 - Code Change, VC2 - Name Change",72421,Appliance servicers and repairers,
7333,Electrical mechanics,"VC1 - Code Change, VC2 - Name Change",72422,Electrical mechanics,
7334,"Motorcycle, all-terrain vehicle and other related mechanics","VC1 - Code Change, VC2 - Name Change",72423,"Motorcycle, all-terrain vehicle and other related mechanics",
7335,Other small engine and small equipment repairers,"VC1 - Code Change, VC2 - Name Change",72429,Other small engine and small equipment repairers,
7361,Railway and yard locomotive engineers,"VC1 - Code Change, VC2 - Name Change",73310,Railway and yard locomotive engineers,
7362,Railway conductors and brakemen/women,"VC1 - Code Change, VC2 - Name Change",73311,Railway conductors and brakemen/women,
7371,Crane operators,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",72500,Crane operators,7371 continues as 72500 and part transferred to 75110
7371,Crane operators,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",75110,Construction trades helpers and labourers,7371 continues as 72500 and part transferred to 75110
7372,"Drillers and blasters - surface mining, quarrying and construction","VC1 - Code Change, VC2 - Name Change",73402,"Drillers and blasters - surface mining, quarrying and construction",
7373,Water well drillers,"VC1 - Code Change, VC2 - Name Change",72501,Water well drillers,
7381,Printing press operators,"VC1 - Code Change, VC2 - Name Change",73401,Printing press operators,
7384,"Other trades and related occupations, n.e.c.","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",72423,"Motorcycle, all-terrain vehicle and other related mechanics",7384 continues as 72999 and part transferred 72423
7384,"Other trades and related occupations, n.e.c.","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",72999,Other technical trades and related occupations,7384 continues as 72999 and part transferred 72423
7441,Residential and commercial installers and servicers,"VC1 - Code Change, VC2 - Name Change",73200,Residential and commercial installers and servicers,
7442,Waterworks and gas maintenance workers,"VC1 - Code Change, VC2 - Name Change",74204,Utility maintenance workers,
7444,Pest controllers and fumigators,"VC1 - Code Change, VC2 - Name Change",73202,Pest controllers and fumigators,
7445,Other repairers and servicers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",22311,Electronic service technicians (household and business equipment),7445 continues as 73209 and part transferred to 22311
7445,Other repairers and servicers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",73209,Other repairers and servicers,7445 continues as 73209 and part transferred to 22311
7451,Longshore workers,"VC1 - Code Change, VC2 - Name Change",75100,Longshore workers,
7452,Material handlers,"VC1 - Code Change, VC2 - Name Change",75101,Material handlers,
7511,Transport truck drivers,"VC1 - Code Change, VC2 - Name Change",73300,Transport truck drivers,
7512,"Bus drivers, subway operators and other transit operators","VC1 - Code Change, VC2 - Name Change",73301,"Bus drivers, subway operators and other transit operators",
7513,Taxi and limousine drivers and chauffeurs,"VC1 - Code Change, VC2 - Name Change",75200,Taxi and limousine drivers and chauffeurs,
7514,Delivery and courier service drivers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",74102,Couriers and messengers,7514 continues as 75201 and part transferred to 74102
7514,Delivery and courier service drivers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",75201,Delivery service drivers and door-to-door distributors,7514 continues as 75201 and part transferred to 74102
7521,Heavy equipment operators (except crane),"VC1 - Code Change, VC2 - Name Change",73400,Heavy equipment operators,
7522,Public works maintenance equipment operators and related workers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",74204,Utility maintenance workers,7522 continues as 74205 and part transferred to 74204
7522,Public works maintenance equipment operators and related workers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",74205,Public works maintenance equipment operators and related workers,7522 continues as 74205 and part transferred to 74204
7531,Railway yard and track maintenance workers,"VC1 - Code Change, VC2 - Name Change",74200,Railway yard and track maintenance workers,
7532,Water transport deck and engine room crew,"VC1 - Code Change, VC2 - Name Change",74201,Water transport deck and engine room crew,
7533,Boat and cable ferry operators and related occupations,"VC1 - Code Change, VC2 - Name Change",75210,Boat and cable ferry operators and related occupations,
7534,Air transport ramp attendants,"VC1 - Code Change, VC2 - Name Change",74202,Air transport ramp attendants,
7535,Other automotive mechanical installers and servicers,"VC1 - Code Change, VC2 - Name Change",74203,Automotive and heavy truck and equipment parts installers and servicers,
7611,Construction trades helpers and labourers,"VC1 - Code Change, VC2 - Name Change",75110,Construction trades helpers and labourers,
7612,Other trades helpers and labourers,"VC1 - Code Change, VC2 - Name Change",75119,Other trades helpers and labourers,
7621,Public works and maintenance labourers,"VC1 - Code Change, VC2 - Name Change",75212,Public works and maintenance labourers,
7622,Railway and motor transport labourers,"VC1 - Code Change, VC2 - Name Change",75211,Railway and motor transport labourers,
8211,"Supervisors, logging and forestry","VC1 - Code Change, VC2 - Name Change",82010,"Supervisors, logging and forestry",
8221,"Supervisors, mining and quarrying","VC1 - Code Change, VC2 - Name Change",82020,"Supervisors, mining and quarrying",
8222,"Contractors and supervisors, oil and gas drilling and services","VC1 - Code Change, VC2 - Name Change",82021,"Contractors and supervisors, oil and gas drilling and services",
8231,Underground production and development miners,"VC1 - Code Change, VC2 - Name Change",83100,Underground production and development miners,
8232,"Oil and gas well drillers, servicers, testers and related workers","VC1 - Code Change, VC2 - Name Change",83101,"Oil and gas well drillers, servicers, testers and related workers",
8241,Logging machinery operators,"VC1 - Code Change, VC2 - Name Change",83110,Logging machinery operators,
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",72600,"Air pilots, flight engineers and flying instructors",8252 continues as 82030 and part transferred to 72600 and 85100 and part split off to emerging item 84120
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","RC4.2 - Split off, RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",82030,Agricultural service contractors and farm supervisors,8252 continues as 82030 and part transferred to 72600 and 85100 and part split off to emerging item 84120
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",84120,Specialized livestock workers and farm machinery operators,8252 continues as 82030 and part transferred to 72600 and 85100 and part split off to emerging item 84120
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",85100,Livestock labourers,8252 continues as 82030 and part transferred to 72600 and 85100 and part split off to emerging item 84120
8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services","VC1 - Code Change, VC2 - Name Change",82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",
8261,Fishing masters and officers,"VC1 - Code Change, VC2 - Name Change",83120,Fishing masters and officers,
8262,Fishermen/women,"VC1 - Code Change, VC2 - Name Change",83121,Fishermen/women,
8411,Underground mine service and support workers,"VC1 - Code Change, VC2 - Name Change",84100,Underground mine service and support workers,
8412,Oil and gas well drilling and related workers and services operators,"VC1 - Code Change, VC2 - Name Change",84101,Oil and gas well drilling and related workers and services operators,
8421,Chain saw and skidder operators,"VC1 - Code Change, VC2 - Name Change",84110,Chain saw and skidder operators,
8422,Silviculture and forestry workers,"VC1 - Code Change, VC2 - Name Change",84111,Silviculture and forestry workers,
8431,General farm workers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",84120,Specialized livestock workers and farm machinery operators,8431 continues as 85100 and part transferred to 85101 and part split off to emerging item 84120
8431,General farm workers,"RC4.2 - Split off, RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",85100,Livestock labourers,8431 continues as 85100 and part transferred to 85101 and part split off to emerging item 84120
8431,General farm workers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",85101,Harvesting labourers,8431 continues as 85100 and part transferred to 85101 and part split off to emerging item 84120
8432,Nursery and greenhouse workers,"VC1 - Code Change, VC2 - Name Change",85103,Nursery and greenhouse labourers,
8441,Fishing vessel deckhands,"VC1 - Code Change, VC2 - Name Change",84121,Fishing vessel deckhands,
8442,Trappers and hunters,"VC1 - Code Change, VC2 - Name Change",85104,Trappers and hunters,
8611,Harvesting labourers,"VC1 - Code Change, VC2 - Name Change",85101,Harvesting labourers,
8612,Landscaping and grounds maintenance labourers,"VC1 - Code Change, VC2 - Name Change",85121,Landscaping and grounds maintenance labourers,
8613,Aquaculture and marine harvest labourers,"VC1 - Code Change, VC2 - Name Change",85102,Aquaculture and marine harvest labourers,
8614,Mine labourers,"VC1 - Code Change, VC2 - Name Change",85110,Mine labourers,
8615,"Oil and gas drilling, servicing and related labourers","VC1 - Code Change, VC2 - Name Change",85111,"Oil and gas drilling, servicing and related labourers",
8616,Logging and forestry labourers,"VC1 - Code Change, VC2 - Name Change",85120,Logging and forestry labourers,
9211,"Supervisors, mineral and metal processing","VC1 - Code Change, VC2 - Name Change",92010,"Supervisors, mineral and metal processing",
9212,"Supervisors, petroleum, gas and chemical processing and utilities","VC1 - Code Change, VC2 - Name Change",92011,"Supervisors, petroleum, gas and chemical processing and utilities",
9213,"Supervisors, food and beverage processing","VC1 - Code Change, VC2 - Name Change",92012,"Supervisors, food and beverage processing",
9214,"Supervisors, plastic and rubber products manufacturing","VC1 - Code Change, VC2 - Name Change",92013,"Supervisors, plastic and rubber products manufacturing",
9215,"Supervisors, forest products processing","VC1 - Code Change, VC2 - Name Change",92014,"Supervisors, forest products processing",
9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing","VC1 - Code Change, VC2 - Name Change",92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",
9221,"Supervisors, motor vehicle assembling","VC1 - Code Change, VC2 - Name Change",92020,"Supervisors, motor vehicle assembling",
9222,"Supervisors, electronics manufacturing","RC3.1 - Merger, VC2 - Name Change",92021,"Supervisors, electronics and electrical products manufacturing",9222 and 9223 expired and all parts of both merged into emerging item 92021
9223,"Supervisors, electrical products manufacturing","RC3.1 - Merger, VC2 - Name Change",92021,"Supervisors, electronics and electrical products manufacturing",9222 and 9223 expired and all parts of both merged into emerging item 92021
9224,"Supervisors, furniture and fixtures manufacturing","VC1 - Code Change, VC2 - Name Change",92022,"Supervisors, furniture and fixtures manufacturing",
9226,"Supervisors, other mechanical and metal products manufacturing","VC1 - Code Change, VC2 - Name Change",92023,"Supervisors, other mechanical and metal products manufacturing",
9227,"Supervisors, other products manufacturing and assembly","VC1 - Code Change, VC2 - Name Change",92024,"Supervisors, other products manufacturing and assembly",
9231,"Central control and process operators, mineral and metal processing","VC1 - Code Change, VC2 - Name Change",93100,"Central control and process operators, mineral and metal processing",
9232,"Central control and process operators, petroleum, gas and chemical processing","VC1 - Code Change, VC2 - Name Change",93101,"Central control and process operators, petroleum, gas and chemical processing",
9235,"Pulping, papermaking and coating control operators","VC1 - Code Change, VC2 - Name Change",93102,"Pulping, papermaking and coating control operators",
9241,Power engineers and power systems operators,"VC1 - Code Change, VC2 - Name Change",92100,Power engineers and power systems operators,
9243,Water and waste treatment plant operators,"VC1 - Code Change, VC2 - Name Change",92101,Water and waste treatment plant operators,
9411,"Machine operators, mineral and metal processing","VC1 - Code Change, VC2 - Name Change",94100,"Machine operators, mineral and metal processing",
9412,Foundry workers,"VC1 - Code Change, VC2 - Name Change",94101,Foundry workers,
9413,Glass forming and finishing machine operators and glass cutters,"VC1 - Code Change, VC2 - Name Change",94102,Glass forming and finishing machine operators and glass cutters,
9414,"Concrete, clay and stone forming operators","VC1 - Code Change, VC2 - Name Change",94103,"Concrete, clay and stone forming operators",
9415,"Inspectors and testers, mineral and metal processing","VC1 - Code Change, VC2 - Name Change",94104,"Inspectors and testers, mineral and metal processing",
9416,Metalworking and forging machine operators,"VC1 - Code Change, VC2 - Name Change",94105,Metalworking and forging machine operators,
9417,Machining tool operators,"VC1 - Code Change, VC2 - Name Change",94106,Machining tool operators,
9418,Other metal products machine operators,"VC1 - Code Change, VC2 - Name Change",94107,Machine operators of other metal products,
9421,Chemical plant machine operators,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",94110,Chemical plant machine operators,9421 continues as 94110 and part transferred to 95102
9421,Chemical plant machine operators,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",95102,Labourers in chemical products processing and utilities,9421 continues as 94110 and part transferred to 95102
9422,Plastics processing machine operators,"VC1 - Code Change, VC2 - Name Change",94111,Plastics processing machine operators,
9423,Rubber processing machine operators and related workers,"VC1 - Code Change, VC2 - Name Change",94112,Rubber processing machine operators and related workers,
9431,Sawmill machine operators,"VC1 - Code Change, VC2 - Name Change",94120,Sawmill machine operators,
9432,Pulp mill machine operators,"RC3.1 - Merger, VC2 - Name Change",94121,"Pulp mill, papermaking and finishing machine operators",9432 and 9433 expired and all parts of both merged into emerging item 94121
9433,Papermaking and finishing machine operators,"RC3.1 - Merger, VC2 - Name Change",94121,"Pulp mill, papermaking and finishing machine operators",9432 and 9433 expired and all parts of both merged into emerging item 94121
9434,Other wood processing machine operators,"VC1 - Code Change, VC2 - Name Change",94129,Other wood processing machine operators,
9435,Paper converting machine operators,"VC1 - Code Change, VC2 - Name Change",94122,Paper converting machine operators,
9436,Lumber graders and other wood processing inspectors and graders,"VC1 - Code Change, VC2 - Name Change",94123,Lumber graders and other wood processing inspectors and graders,
9437,Woodworking machine operators,"VC1 - Code Change, VC2 - Name Change",94124,Woodworking machine operators,
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers",9441 continues as 94130 and part transferred to 95105
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",95105,Labourers in textile processing and cutting,9441 continues as 94130 and part transferred to 95105
9442,"Weavers, knitters and other fabric making occupations","VC1 - Code Change, VC2 - Name Change",94131,"Weavers, knitters and other fabric making occupations",
9445,"Fabric, fur and leather cutters","RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",95105,Labourers in textile processing and cutting,9945 expired and all proceeds taken-over as part of 95105
9446,Industrial sewing machine operators,"VC1 - Code Change, VC2 - Name Change",94132,Industrial sewing machine operators,
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing","VC1 - Code Change, VC2 - Name Change",94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",
9461,"Process control and machine operators, food and beverage processing","VC1 - Code Change, VC2 - Name Change",94140,"Process control and machine operators, food and beverage processing",
9462,"Industrial butchers and meat cutters, poultry preparers and related workers","VC1 - Code Change, VC2 - Name Change",94141,"Industrial butchers and meat cutters, poultry preparers and related workers",
9463,Fish and seafood plant workers,"VC1 - Code Change, VC2 - Name Change",94142,Fish and seafood plant workers,
9465,"Testers and graders, food and beverage processing","VC1 - Code Change, VC2 - Name Change",94143,"Testers and graders, food and beverage processing",
9471,Plateless printing equipment operators,"VC1 - Code Change, VC2 - Name Change",94150,Plateless printing equipment operators,
9472,"Camera, platemaking and other prepress occupations","VC1 - Code Change, VC2 - Name Change",94151,"Camera, platemaking and other prepress occupations",
9473,Binding and finishing machine operators,"VC1 - Code Change, VC2 - Name Change",94152,Binding and finishing machine operators,
9474,Photographic and film processors,"VC1 - Code Change, VC2 - Name Change",94153,Photographic and film processors,
9521,Aircraft assemblers and aircraft assembly inspectors,"VC1 - Code Change, VC2 - Name Change",93200,Aircraft assemblers and aircraft assembly inspectors,
9522,"Motor vehicle assemblers, inspectors and testers","VC1 - Code Change, VC2 - Name Change",94200,"Motor vehicle assemblers, inspectors and testers",
9523,"Electronics assemblers, fabricators, inspectors and testers","VC1 - Code Change, VC2 - Name Change",94201,"Electronics assemblers, fabricators, inspectors and testers",
9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","VC1 - Code Change, VC2 - Name Change",94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",
9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers","VC1 - Code Change, VC2 - Name Change",94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",
9526,Mechanical assemblers and inspectors,"VC1 - Code Change, VC2 - Name Change",94204,Mechanical assemblers and inspectors,
9527,"Machine operators and inspectors, electrical apparatus manufacturing","VC1 - Code Change, VC2 - Name Change",94205,"Machine operators and inspectors, electrical apparatus manufacturing",
9531,Boat assemblers and inspectors,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",94219,"Other products assemblers, finishers and inspectors",9531 expired and all proceeds taken-over as part of 94219
9532,Furniture and fixture assemblers and inspectors,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors",9532 expired and all proceeds taken-over as part of 94210
9533,Other wood products assemblers and inspectors,"VC1 - Code Change, VC2 - Name Change",94211,Assemblers and inspectors of other wood products,
9534,Furniture finishers and refinishers,"RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors",9534 expired and all proceeds taken-over as part of 94210
9535,"Plastic products assemblers, finishers and inspectors","VC1 - Code Change, VC2 - Name Change",94212,"Plastic products assemblers, finishers and inspectors",
9536,"Industrial painters, coaters and metal finishing process operators","VC1 - Code Change, VC2 - Name Change",94213,"Industrial painters, coaters and metal finishing process operators",
9537,"Other products assemblers, finishers and inspectors","RC3.2 - Take-over, VC1 - Code Change, VC2 - Name Change",94219,"Other products assemblers, finishers and inspectors",9537 expired and all proceeds taken-over as part of 94219
9611,Labourers in mineral and metal processing,"VC1 - Code Change, VC2 - Name Change",95100,Labourers in mineral and metal processing,
9612,Labourers in metal fabrication,"VC1 - Code Change, VC2 - Name Change",95101,Labourers in metal fabrication,
9613,Labourers in chemical products processing and utilities,"VC1 - Code Change, VC2 - Name Change",95102,Labourers in chemical products processing and utilities,
9614,"Labourers in wood, pulp and paper processing","VC1 - Code Change, VC2 - Name Change",95103,"Labourers in wood, pulp and paper processing",
9615,Labourers in rubber and plastic products manufacturing,"VC1 - Code Change, VC2 - Name Change",95104,Labourers in rubber and plastic products manufacturing,
9616,Labourers in textile processing,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers",9616 continues as 95105 and part transferred to 94130
9616,Labourers in textile processing,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",95105,Labourers in textile processing and cutting,9616 continues as 95105 and part transferred to 94130
9617,Labourers in food and beverage processing,"VC1 - Code Change, VC2 - Name Change",95106,Labourers in food and beverage processing,
9618,Labourers in fish and seafood processing,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",94142,Fish and seafood plant workers,9618 continues as 95107 and part transferred to 94142
9618,Labourers in fish and seafood processing,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",95107,Labourers in fish and seafood processing,9618 continues as 95107 and part transferred to 94142
9619,"Other labourers in processing, manufacturing and utilities","VC1 - Code Change, VC2 - Name Change",95109,"Other labourers in processing, manufacturing and utilities",